,feature,tfidf,mi_value,df_dep,df_nonDep,cpd,ig_value
55,advantage,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
56,advice,0.0,0.01027523787415664,6,1,0.7142857142857143,0.014824034724999713
57,advised,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
58,advocate,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
59,affairs,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
60,affect,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
61,affecting,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
62,affectionate,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
63,affects,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
64,afford,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
65,affordable,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
66,afraid,0.0,0.010168238507650454,7,0,1.0,0.014669667269562425
67,african,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
68,afternoons,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
69,afterwards,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
70,age,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
71,ago,0.0,0.06453806165635427,31,12,0.4418604651162791,0.09310874150020754
72,agoraphobia,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
73,agree,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
74,agreed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
75,ahead,0.0,0.004639163578554617,1,2,0.3333333333333333,0.0066928982886529376
76,ahs,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
77,aint,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
78,air,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
79,airbnb,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
80,al,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
81,alcohol,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
82,alcoholics,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
83,alienated,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
84,alive,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
