,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
1343,hair,0.0,0.004639163578554617,1,2,0.3333333333333333
1345,half,0.0,0.022306507678512152,11,4,0.4666666666666667
1356,handle,0.0,0.010547634895469468,4,3,0.14285714285714285
1358,hands,0.0,0.004475213862199281,2,1,0.3333333333333333
1360,hang,0.0,0.007511412231205749,3,2,0.2
1364,happened,0.0,0.022306507678512152,11,4,0.4666666666666667
1366,happens,0.0,0.005918409128681631,3,1,0.5
1372,hard,0.0,0.02837570257642815,13,6,0.3684210526315789
1375,hardly,0.0,0.007366125204724907,4,1,0.6
1380,harming,0.0,0.005918409128681631,3,1,0.5
1382,has,0.14279912186902996,0.09337035489172466,41,21,0.3225806451612903
1385,hated,0.0,0.004475213862199281,2,1,0.3333333333333333
1391,have,0.0,0.2840565266468289,132,42,0.5172413793103449
1393,having,0.0,0.04632668943888262,24,7,0.5483870967741935
1394,he,0.0,0.0692933321765779,27,19,0.17391304347826086
1399,health,0.0,0.022415444484659944,10,5,0.3333333333333333
1401,healthy,0.0,0.007676088074605134,2,3,0.2
1417,helped,0.0,0.008954287188681836,4,2,0.3333333333333333
1419,helps,0.0,0.008954287188681836,4,2,0.3333333333333333
1420,her,0.0,0.052763734855674406,12,22,0.29411764705882354
1426,hes,0.0,0.0092843714662038,2,4,0.3333333333333333
1427,hey,0.0,0.005918409128681631,3,1,0.5
1429,hi,0.0,0.007511412231205749,3,2,0.2
1434,high,0.0,0.016472911385715897,7,4,0.2727272727272727
1440,him,0.0,0.05108641251912852,21,13,0.23529411764705882
1446,his,0.0,0.04453101208878449,12,17,0.1724137931034483
1457,hole,0.0,0.004475213862199281,2,1,0.3333333333333333
1459,home,0.0,0.02976530537948962,15,5,0.5
1469,hope,0.0,0.012516810578528166,2,6,0.5
1472,hopeless,0.0,0.005918409128681631,3,1,0.5
1489,hot,0.0,0.004475213862199281,2,1,0.3333333333333333
1491,hour,0.0,0.007366125204724907,4,1,0.6
1492,hours,0.0,0.02084108947520611,10,4,0.42857142857142855
1493,house,0.0,0.025579871805420908,10,7,0.17647058823529413
1494,how,0.0,0.10595716510064662,50,20,0.42857142857142855
1499,huge,0.2553340430107023,0.007366125204724907,4,1,0.6
1515,husband,0.0,0.007860159198602208,1,4,0.6
1519,id,0.0,0.007366125204724907,4,1,0.6
1527,idk,0.0,0.005918409128681631,3,1,0.5
1538,im,0.13319518441987968,0.11472041198889789,43,33,0.13157894736842105
1554,importantly,0.0,0.004475213862199281,2,1,0.3333333333333333
1557,improve,0.0,0.007366125204724907,4,1,0.6
1561,in,0.17219670615926572,0.31793280735720225,132,73,0.28780487804878047
1574,incredibly,0.0,0.004475213862199281,2,1,0.3333333333333333
1594,insane,0.0,0.004475213862199281,2,1,0.3333333333333333
1596,inside,0.0,0.005918409128681631,3,1,0.5
1603,instead,0.0,0.008954287188681836,4,2,0.3333333333333333
1620,interview,0.0,0.004475213862199281,2,1,0.3333333333333333
1622,into,0.0,0.0493704779722401,26,7,0.5757575757575758
1633,is,0.0,0.32821792273712996,143,62,0.3951219512195122
1638,isnt,0.0,0.004475213862199281,2,1,0.3333333333333333
1643,it,0.0,0.362359164346248,158,62,0.43636363636363634
1644,its,0.0,0.06908035301571329,31,15,0.34782608695652173
1646,ive,0.0,0.07372443229981135,30,19,0.22448979591836735
1654,job,0.0,0.03455588488312224,14,9,0.21739130434782608
1670,june,0.0,0.004475213862199281,2,1,0.3333333333333333
1673,just,0.10290374606850036,0.22758389908587295,107,37,0.4861111111111111
1678,keeping,0.0,0.004475213862199281,2,1,0.3333333333333333
1685,kid,0.0,0.008954287188681836,4,2,0.3333333333333333
1687,kids,0.0,0.007676088074605134,2,3,0.2
1689,killed,0.0,0.004475213862199281,2,1,0.3333333333333333
1690,killing,0.0,0.007366125204724907,4,1,0.6
1694,kinda,0.0,0.007366125204724907,4,1,0.6
1698,kiss,0.0,0.004639163578554617,1,2,0.3333333333333333
1727,large,0.0,0.004475213862199281,2,1,0.3333333333333333
1729,last,0.0,0.05391295541781645,26,10,0.4444444444444444
1731,late,0.0,0.007676088074605134,2,3,0.2
1734,laugh,0.0,0.007366125204724907,4,1,0.6
1735,laughed,0.0,0.004639163578554617,1,2,0.3333333333333333
1739,laying,0.0,0.005918409128681631,3,1,0.5
1745,learn,0.0,0.004639163578554617,1,2,0.3333333333333333
1748,least,0.0,0.022306507678512152,11,4,0.4666666666666667
1749,leave,0.0,0.019508545150036645,8,5,0.23076923076923078
1751,leaving,0.0,0.004639163578554617,1,2,0.3333333333333333
1754,left,0.0,0.031249695787303966,16,5,0.5238095238095238
1760,lesson,0.0,0.004475213862199281,2,1,0.3333333333333333
1765,letting,0.0,0.005918409128681631,3,1,0.5
1766,level,0.0,0.004639163578554617,1,2,0.3333333333333333
1772,license,0.0,0.004639163578554617,1,2,0.3333333333333333
1773,lie,0.0,0.007366125204724907,4,1,0.6
1776,life,0.0,0.09963903305107574,37,29,0.12121212121212122
1780,like,0.0,0.183013159630325,89,28,0.5213675213675214
1781,likely,0.0,0.004475213862199281,2,1,0.3333333333333333
1785,list,0.0,0.005918409128681631,3,1,0.5
1788,literally,0.0,0.010401701669030471,5,2,0.42857142857142855
1791,little,0.0,0.03662201271005714,11,13,0.08333333333333333
1793,live,0.0,0.022306507678512152,11,4,0.4666666666666667
1795,lives,0.0,0.004639163578554617,1,2,0.3333333333333333
1796,living,0.0,0.013750029755904761,4,5,0.1111111111111111
1798,local,0.0,0.004639163578554617,1,2,0.3333333333333333
1803,long,0.0,0.04198308107761253,18,10,0.2857142857142857
1804,longer,0.0,0.007366125204724907,4,1,0.6
1806,look,0.0,0.04051421860967782,17,10,0.25925925925925924
1807,looked,0.0,0.005918409128681631,3,1,0.5
1808,looking,0.0,0.013310268294418502,7,2,0.5555555555555556
1814,loss,0.0,0.005918409128681631,3,1,0.5
1815,lost,0.0,0.015026108074736599,6,4,0.2
1817,lots,0.0,0.005918409128681631,3,1,0.5
1821,loved,0.0,0.007860159198602208,1,4,0.6
