,feature,tfidf,mi_value,df_dep,df_nonDep,cpd,ig_value
55,adult,0.0,0.004639163578554617,1,2,0.3333333333333333,0.0066928982886529376
56,advanced,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
57,advantage,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
58,advice,0.0,0.01027523787415664,6,1,0.7142857142857143,0.014824034724999713
59,advised,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
60,advocate,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
61,affairs,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
62,affect,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
63,affecting,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
64,affectionate,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
65,affects,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
66,afford,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
67,affordable,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
68,afraid,0.0,0.010168238507650454,7,0,1.0,0.014669667269562425
69,african,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
70,after,0.0,0.07821447264366835,22,29,0.13725490196078433,0.11283963180876522
71,afternoons,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
72,afterwards,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
73,again,0.0,0.04330344776072697,22,7,0.5172413793103449,0.06247366933779419
74,against,0.0,0.005918409128681631,3,1,0.5,0.008538459499900175
75,age,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
76,ago,0.0,0.06453806165635427,31,12,0.4418604651162791,0.09310874150020754
77,agoraphobia,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
78,agree,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
79,agreed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
80,ahead,0.0,0.004639163578554617,1,2,0.3333333333333333,0.0066928982886529376
81,ahs,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
82,aint,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
83,air,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
84,airbnb,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
85,al,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
86,alcohol,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
87,alcoholics,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
88,alienated,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
89,alive,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
90,all,0.0,0.12898345079381215,59,26,0.38823529411764707,0.18608378481697863
91,allowed,0.0,0.007676088074605134,2,3,0.2,0.011074254198659483
92,allowing,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
93,almost,0.0,0.028215816373409988,15,4,0.5789473684210527,0.040706818356551544
94,alone,0.0,0.016080335720380257,11,0,1.0,0.02319902059962109
95,along,0.0,0.006247034688436352,1,3,0.5,0.009012565965267672
96,alongside,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
97,alot,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
98,already,0.0,0.014888995558983466,7,3,0.4,0.021480280056762724
99,alright,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
100,als,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
101,also,0.0,0.05847102675120449,29,10,0.48717948717948717,0.08435586032964826
102,alt,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
103,altered,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
104,although,0.0,0.01027523787415664,6,1,0.7142857142857143,0.014824034724999713
105,altogeth,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
106,altogether,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
107,always,0.0,0.044935513156305146,20,10,0.3333333333333333,0.06482824199040194
108,am,0.0,0.24553498039242647,115,39,0.4935064935064935,0.35423209857692217
109,amazing,0.21832979928787916,0.018396590702014833,5,7,0.16666666666666666,0.02654067017505979
110,amazingly,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
111,ambien,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
112,america,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
113,american,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
114,americans,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
115,amid,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
116,among,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
117,amongst,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
118,amount,0.0,0.010401701669030471,5,2,0.42857142857142855,0.01500648341471611
119,amounts,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
120,an,0.14279912186902996,0.09341467414814181,42,20,0.3548387096774194,0.1347688871397822
121,and,0.1203727868732057,0.575031191971455,215,138,0.21813031161473087,0.8295946490136873
122,anger,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
123,angry,0.0,0.007240221295494479,5,0,1.0,0.010445431357948065
124,angus,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
125,anhedonia,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
126,anhedonic,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
127,animal,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
128,ankle,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
129,ankles,0.0,0.005783113843806052,4,0,1.0,0.008343269663354747
130,anniversary,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
131,announced,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
132,announcing,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
133,annoying,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
134,annual,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
135,anorexia,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
136,anorexic,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
137,another,0.0,0.010713043329591993,3,4,0.14285714285714285,0.015455654484429981
138,antidepressants,0.0,0.008954287188681836,4,2,0.3333333333333333,0.012918305721806855
139,antidepressent,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
140,anxieties,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
141,anxiety,0.0,0.07188660707625039,43,4,0.8297872340425532,0.10371045153523939
142,anxietydepression,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
143,anxious,0.0,0.007511412231205749,3,2,0.2,0.010836677176032872
144,any,0.0,0.05449520885192087,34,2,0.8888888888888888,0.0786199675628736
